x_m,y_m,s_m,track_width_m
7.62822,8.36139,13.35826,0.4500
7.63334,8.34206,13.37826,0.4500
7.63845,8.32272,13.39826,0.4500
7.64364,8.30341,13.41826,0.4500
7.64884,8.28410,13.43825,0.4500
7.65454,8.26494,13.45824,0.4500
7.66090,8.24598,13.47824,0.4500
7.66726,8.22702,13.49824,0.4500
7.67373,8.20810,13.51824,0.4500
7.68021,8.18918,13.53823,0.4500
7.68719,8.17045,13.55822,0.4500
7.69483,8.15197,13.57822,0.4500
7.70247,8.13349,13.59822,0.4500
7.71029,8.11509,13.61822,0.4500
7.71813,8.09669,13.63821,0.4500
7.72640,8.07849,13.65820,0.4500
7.73525,8.06056,13.67820,0.4500
7.74410,8.04262,13.69820,0.4500
7.75330,8.02487,13.71820,0.4500
7.76253,8.00713,13.73820,0.4500
7.77208,7.98956,13.75819,0.4500
7.78205,7.97222,13.77819,0.4500
7.79202,7.95489,13.79818,0.4500
7.80257,7.93790,13.81818,0.4500
